"dj_id","br_id","title","published_date","view_count","like_count"
12681,"4_Jk34-b_Jw","Buraka Som Sistema Boiler Room Lisboa DJ Set - Red Bull Music Academy Takeover","2013-02-21",720854,4507
2113,"50gH_6WpXvc","Scuba Boiler Room Berlin DJ Set","2015-09-18",57279,633
10739,"5RSZBJJ6yTo","Rob Mello 40 min Boiler Room Mix","2012-12-12",9455,68
11691,"5S6DxvUXW80","Cassegrain Boiler Room Berlin Live Set","2014-08-14",38973,413
12002,"5vHRUsP20dQ","Maceo Plex Boiler Room Berlin DJ Set","2014-10-13",3401174,18141
15496,"5VV-EoI_hi0","Andrew Weatherall B2B Ivan Smagghe Boiler Room DJ Set","2013-11-14",79487,387
15760,"5VV-EoI_hi0","Andrew Weatherall B2B Ivan Smagghe Boiler Room DJ Set","2013-11-14",79487,387
9012,"6B1AIBEdwPs","DJ Nature Boiler Room DJ Set","2013-03-27",34710,266
14502,"6btq8SG69-U","Bok Bok & Total Freedom Boiler Room London 5th Birthday DJ Set","2015-12-09",2931,73
26817,"6Cz6PkRs4QM","Octo Octa Boiler Room Los Angeles LIVE Show","2013-03-13",20049,229
10918,"6f5s6V616xE","Marco Shuttle Boiler Room DJ Set","2013-08-20",9335,67
18226,"6k-QF7P5y1I","Jonas Kopp Boiler Room Berlin DJ Set","2015-03-25",45699,354
10378,"6NVmWbQZ8yU","Gilles Peterson Boiler Room DJ set","2013-06-27",280632,1952
15619,"6SADzsDE_QU","Slam Boiler Room & Ballantine's Stay True Scotland Live Set","2015-06-18",16028,204
14717,"6TH4w1iuzaE","Alex.Do Boiler Room Berlin DJ Set","2014-10-07",107614,763
1413,"6THYS59l3rw","Doc Daneeka & Benjamin Damage 45 min Boiler Room Berlin DJ Set","2012-08-08",22467,135
1438,"6THYS59l3rw","Doc Daneeka & Benjamin Damage 45 min Boiler Room Berlin DJ Set","2012-08-08",22467,135
2896,"6WNYFao2DyU","Moomin Boiler Room DJ Set","2013-05-08",134557,1039
4710,"6_1NtSWhFFg","The Black Madonna Boiler Room Chicago DJ Set","2015-05-20",61591,487
10458,"765MOyUUyv4","Ryan Elliott 40 min Boiler Room DJ Set","2012-10-08",59604,253
823,"7agboWICa5Y","Huxley 'Long Summer Night' - Boiler Room Debuts","2013-12-05",42925,413
16782,"7B-5MRB_zNY","Kyle Hall 35 min Boiler Room Detroit DJ Set","2012-06-21",71783,465
26120,"7BbDM8Y8mH0","Barnt \"How Do I Know What Solutions X Form\" - Boiler Room Debut","2014-11-10",5143,61
16993,"7FDGY0UCoTc","Fort Romeau Boiler Room DJ Set","2013-03-15",35963,269
1430,"7gatn5bsaBc","Marcel Dettmann B2B Ryan Elliott Boiler Room Berlin DJ Set","2013-10-03",73309,562
10458,"7gatn5bsaBc","Marcel Dettmann B2B Ryan Elliott Boiler Room Berlin DJ Set","2013-10-03",73309,562
10598,"7J59dvHC8RE","The Martinez Brothers Boiler Room Ibiza DJ Set","2014-08-29",919977,3782
9099,"7jRw_ayZ1lU","Camea Boiler Room Berlin DJ Set","2015-11-10",6684,115
1835,"7lrUIH5JtOc","Sigha B2B shifted Boiler Room Berlin Dj Set","2014-04-01",127004,905
6073,"7lrUIH5JtOc","Sigha B2B shifted Boiler Room Berlin Dj Set","2014-04-01",127004,905
16924,"7LU18BJunVk","Dixon Boiler Room x Dekmantel x IR DJ Set","2015-07-03",252291,1843
3003,"7m0v5uOQ0XQ","Maya Jane Coles Boiler Room & Ballantine's Stay True Scotland DJ Set","2015-06-18",172884,1762
1406,"7sOfhNB3djA","Modeselektor \"50 Trees\" - Boiler Room Debuts","2015-08-19",5792,64
2528,"7t95dCTplWM","Boris Boiler Room Tokyo Live set","2014-07-07",11349,144
17833,"7v5xpR7-wX4","Horse Meat Disco Boiler Room London DJ Set","2014-06-25",131197,620
25263,"7xFQaJ4NFLQ","Dj Richard Boiler Room Berlin Dj Set","2014-03-12",17866,103
24605,"8-KdT-eU-QY","Hesseltime Boiler Room London DJ Set","2014-12-08",5859,39
24897,"81ETH8W7s0k","Cuthead Boiler Room Dresden Live Set","2015-12-18",11290,316
3094,"83ywADrnCLs","Wildkats Boiler Room DJ Set","2013-02-22",18206,106
4166,"89f1z2uIIAY","Peter Van Hoesen 'Seven, Green and Black - SCB Edit' - Boiler Room Debuts","2013-07-30",12398,124
9855,"8AGnnM0l50I","Discodromo Boiler Room Berlin DJ Set","2014-10-20",20701,148
6946,"8dmm_m2sPBY","Benedikt Frey Boiler Room Berlin DJ Set","2014-09-08",16834,113
14752,"8qfJcOqDOXE","Alec Empire Boiler Room Berlin LIVE Show","2013-02-05",174360,428
72,"8s86Z9aVhjM","Perc Boiler Room London DJ Set","2014-12-23",69060,639
23780,"8UQU4NFV4P4","Soundstream Boiler Room x Generator Berlin DJ Set","2015-08-17",49535,389
18974,"8YirM9HxRoM","&ME Boiler Room Berlin DJ Set","2014-01-17",168130,1006
13599,"93X7hnT0PcY","Tama Sumo Boiler Room x Dekmantel Festival DJ Set","2015-09-15",13203,100
10598,"94q9aetId7Y","The Martinez Borthers 'Do That Two (Yes Baby)' - Boiler Room Debuts","2014-10-29",11364,146
1415,"98ZaEjVrcm4","Cosmin TRG \"Narr Day (Remodulated)\" - Boiler Room Debuts","2015-10-05",3568,75
26378,"9alee607Pwc","Amy Becker Boiler Room London DJ Set","2014-08-31",18952,206
16999,"9CAz32FjGYc","Dauwd Boiler Room LIVE Show","2013-06-05",59274,602
10954,"9FhOj2t5vJw","Mike Dehnert \"Rewerk\" - Boiler Room Debuts","2015-08-03",5235,63
17132,"9JtTbx-hYWk","Black Coffee Boiler Room & Ballantine's Stay True South Africa DJ Set","2015-03-23",229523,1595
1415,"9M0jbvEaT_c","Cosmin TRG Boiler Room DJ Set","2014-01-16",32344,281
24471,"9qgvkvLOMHE","Plastician Boiler Room London Mix","2013-01-04",58443,559
26705,"9RjCBnAEym0","Krysko Boiler Room DJ Set at Warehouse Project","2013-12-20",15415,74
30751,"9sf2R4MMY_Y","DJ Nigga Fox Boiler Room X RBMA Lisboa DJ Set","2015-03-10",23684,214
10458,"9ukQXQypilc","Ryan Elliott Boiler Room Berlin Dj Set","2013-10-02",30026,152
10825,"9ZaDfjvvgsw","French Fries Boiler Room Paris DJ Set","2013-11-14",50426,327
19885,"A-TLmvADGGo","Palms Trax Boiler Room London Interview and DJ Set","2014-12-15",26802,215
2546,"a0bvkeErON8","Dan Ghenacia Boiler Room NYC DJ Set","2013-12-24",59681,399
5136,"a5f_3eCkZ8w","Voigtmann Boiler Room London DJ Set","2014-06-16",13872,105
5735,"AaQkjl7SUHI","The Revenge ft. Jesse Rennix \"Another Light\" - Boiler Room Debuts","2015-02-11",2948,46
7283,"Aba5iAVowb8","Anja Schneider Boiler Room DJ Set at Eastern Electrics Festival","2013-08-28",189910,939
26292,"ABavSyP21nc","Royal-T & Champion 'Mufasa' - Boiler Room DEBUTS","2014-05-13",8241,148
11196,"aBIltCuj8XE","wAFF Boiler Room Ibiza DJ Set","2014-08-29",358898,1714
21799,"ABPzgYuWCJg","Spencer Boiler Room Glasgow X Numbers DJ Set","2015-04-15",15885,145
15373,"ACj8SsSs06U","Svreca Boiler Room Berlin Live Set","2015-06-03",8069,71
17557,"aeUmTKGICPw","Headless Horseman Boiler Room Live Show","2014-04-01",71733,693
1430,"aFmaUwjsO4g","Marcel Dettmann Boiler Room Berlin DJ Set","2013-10-01",185142,850
8758,"AGdA7cmSkFk","Jamie Jones Boiler Room Ibiza Villa Takeovers DJ Set","2013-08-21",2205873,9042
13354,"ahJ8miG0CQI","Vril \"Portal 7\" - Boiler Room Debuts","2015-01-30",9760,118
10593,"AlrxoCcy75k","Eats Everything Boiler Room DJ Set at LEAF","2013-11-21",160951,967
823,"aNCj92FKN1c","Huxley 'Tendered Mess' - Boiler Room DEBUTS","2014-07-10",9349,135
7961,"AP4CYaqyezM","Benton Boiler Room Los Angeles DJ Set","2013-10-23",6369,47
10984,"ApQ0U_gaTb0","Tommy Four Seven Boiler Room Berlin DJ Set","2013-03-12",153724,943
26201,"ApyhXEuZIZY","Volte-Face Boiler Room London DJ Set","2015-03-09",5654,37
1074,"AUg6ckp5FyE","Martyn 70 min Boiler Room DJ Set at Warehouse Project x RBMA","2012-11-21",62507,404
18180,"B0NDQruydfs","Avalon Emerson Boiler Room Berlin DJ Set","2015-10-08",11290,148
5956,"b4hp75IwhV8","Skream Boiler Room DJ Set","2013-12-12",893454,5622
2996,"b5j5bs5xn-g","Soul Clap 60 min Boiler Room DJ Set at Warehouse Project","2012-10-09",70835,304
7333,"B5z1alyMGwA","Tim Sweeney Boiler Room NYC Good Times DJ set","2015-09-15",6205,48
